title,price,closing_date,result,no_views,no_watchers,no_comments,no_bids,seller_state,year,series,miles,engine,trans,exterior,url
Vortec-Powered 1985 Toyota Land Cruiser FJ60,30000,2021-05-21,sold,10543,533,17,10,oregon,1985,fj60,276000,Other(Swapped),automatic,white,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-79/
1989 Toyota Land Cruiser FJ62,25250,2021-05-12,sold,11905,632,21,10,california,1989,fj62,242000,3F-E,automatic,beige,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-75/
1986 Toyota Land Cruiser FJ60 5-Speed,16500,2021-04-29,reserve not met,11694,538,21,7,idaho,1986,fj60,205000,2F,manual,beige,https://bringatrailer.com/listing/1986-toyota-land-cruiser-fj60-33/
1988 Toyota Land Cruiser FJ62,39775,2021-04-28,sold,8106,456,35,24,north carolina,1988,fj62,160000,3F-E,automatic,blue,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-66/
1989 Toyota Land Cruiser FJ62,34850,2021-04-23,reserve not met,10999,576,59,27,california,1989,fj62,193000,3F-E,automatic,white,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-73/
1989 Toyota Land Cruiser FJ62,45250,2021-04-21,sold,13376,819,74,79,arizona,1989,fj62,187000,3F-E,automatic,blue,https://bringatrailer.com/listing/1989-toyota-land-cruiser-19/
1989 Toyota Land Cruiser FJ62,68000,2021-04-18,sold,21045,902,85,38,kansas,1989,fj62,29639,3F-E,automatic,gray,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-71/
1987 Toyota Land Cruiser FJ60 5-Speed,27750,2021-04-17,sold,10693,698,27,36,nevada,1987,fj60,115000,2F,manual,silver,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-72/
1985 Toyota Land Cruiser FJ60,18250,2021-04-16,sold,10175,586,28,24,michigan,1985,fj60,198000,2F,manual,beige,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-78/
1989 Toyota Land Cruiser FJ62,29500,2021-04-13,sold,9831,586,37,40,texas,1989,fj62,202000,3F-E,automatic,blue,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-72/
1985 Toyota Land Cruiser FJ60,27000,2021-04-12,sold,13182,751,43,31,california,1985,fj60,141000,2F,manual,white,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-74/
1989 Toyota Land Cruiser FJ62,27000,2021-04-12,sold,9323,523,38,36,california,1989,fj62,242000,3F-E,automatic,gray,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-69/
No Reserve: 1988 Toyota Land Cruiser FJ62,28188,2021-04-08,sold,8976,578,45,41,arizona,1988,fj62,268000,3F-E,automatic,beige,https://bringatrailer.com/listing/1988-toyota-land-cruiser-33/
1987 Toyota Land Cruiser FJ60 4-Speed,36000,2021-04-05,sold,10420,694,71,43,california,1987,fj60,151000,2F,manual,blue,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-69/
No Reserve: 1990 Toyota Land Cruiser FJ62,26000,2021-04-05,sold,9476,569,101,35,colorado,1990,fj62,202000,3F-E,automatic,blue,https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-40/
1988 Toyota Land Cruiser FJ62,27000,2021-04-02,sold,6706,448,32,22,arizona,1988,fj62,240000,3F-E,automatic,beige,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-61/
1987 Toyota Land Cruiser FJ60,26000,2021-04-01,sold,12786,686,30,42,new york,1987,fj60,192000,2F,manual,green,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-66/
1989 Toyota Land Cruiser FJ62,50000,2021-03-28,sold,18437,681,45,8,oklahoma,1989,fj62,70000,Other(Swapped),automatic,red,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-67/
1989 Toyota Land Cruiser FJ62,26500,2021-03-26,sold,7580,488,25,29,texas,1989,fj62,134000,3F-E,automatic,blue,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-68/
Vortec-Powered 1987 Toyota Land Cruiser FJ60,36500,2021-03-25,sold,14398,675,40,16,georgia,1987,fj60,800,Other(Swapped),automatic,silver,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-71/
1990 Toyota Land Cruiser FJ62,45500,2021-03-21,sold,15699,712,45,43,california,1990,fj62,128000,3F-E,automatic,white,https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-41/
1985 Toyota Land Cruiser G HJ60 Diesel,24000,2021-03-17,reserve not met,12084,619,16,31,georgia,1985,hj60,179000,2H,automatic,beige,https://bringatrailer.com/listing/1985-toyota-land-cruiser-hj60-4/
1986 Toyota Land Cruiser FJ60,20250,2021-03-11,sold,7248,444,24,27,california,1986,fj60,159000,2F,manual,silver,https://bringatrailer.com/listing/1986-toyota-land-cruiser-fj60-31/
1989 Toyota Land Cruiser FJ62,27250,2021-03-09,reserve not met,9010,562,55,11,washington,1989,fj62,129000,3F-E,automatic,white,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-63/
1987 Toyota Land Cruiser FJ60 5-Speed,26750,2021-03-08,sold,11471,654,34,16,north carolina,1987,fj60,289000,2F,manual,white,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-65/
1987 Toyota Land Cruiser FJ60 4-Speed,23500,2021-03-04,sold,10840,797,30,50,north carolina,1987,fj60,212000,2F,manual,red,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-67/
1988 Toyota Land Cruiser FJ62,23750,2021-03-04,sold,11094,706,24,30,north carolina,1988,fj62,252000,3F-E,automatic,blue,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-60/
1988 Toyota Land Cruiser FJ62,49500,2021-03-02,sold,15924,692,34,17,oregon,1988,fj62,149000,3F-E,automatic,white,https://bringatrailer.com/listing/1988-toyota-land-cruiser-32/
1992 Toyota Land Cruiser FJ62 5-Speed,27600,2021-03-01,sold,17868,1006,85,33,kentucky,1992,fj62,75000,3F-E,manual,white,https://bringatrailer.com/listing/1992-toyota-land-cruiser-27/
No Reserve: 1990 Toyota Land Cruiser FJ62,28000,2021-02-25,sold,14231,852,66,50,new york,1990,fj62,237000,3F-E,automatic,white,https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-39/
1987 Toyota Land Cruiser FJ60,27250,2021-02-24,sold,9204,597,31,17,new jersey,1987,fj60,160000,2F,manual,silver,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-63/
1989 Toyota Land Cruiser FJ62,17502,2021-02-23,sold,9265,574,23,12,tennessee,1989,fj62,178000,3F-E,automatic,beige,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-64/
1984 Toyota Land Cruiser FJ60,26000,2021-02-19,reserve not met,13118,871,40,39,texas,1984,fj60,135000,2F,manual,white,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj60-3/
1988 Toyota Land Cruiser FJ62,40500,2021-02-18,sold,12942,716,94,57,new jersey,1988,fj62,102000,3F-E,automatic,gray,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-58/
No Reserve: 1988 Toyota Land Cruiser FJ62,25250,2021-02-16,sold,11424,707,52,19,rhode island,1988,fj62,135000,3F-E,automatic,white,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-59/
No Reserve: 1982 Toyota Land Cruiser FJ60,38000,2021-02-15,sold,17414,741,40,6,california,1982,fj60,76000,2F,manual,beige,https://bringatrailer.com/listing/1982-toyota-land-cruiser-fj60-3/
1983 Toyota Land Cruiser BJ60 5-Speed,26500,2021-02-12,sold,12845,655,30,7,utah,1983,bj60,92000,3B,manual,brown,https://bringatrailer.com/listing/1983-toyota-land-cruiser-fj60-28/
V8-Powered 1985 Toyota Land Cruiser FJ60 5-Speed,24000,2021-02-12,sold,13994,888,37,29,utah,1985,fj60,133000,Other(Swapped),manual,blue,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-72/
1987 Toyota Land Cruiser FJ60,15775,2021-02-08,sold,12092,674,21,20,arkansas,1987,fj60,212000,2F,manual,beige,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-64/
Vortec-Powered 1984 Toyota Land Cruiser FJ60,20000,2021-02-05,reserve not met,15013,806,41,20,oregon,1984,fj60,2000,Other(Swapped),automatic,beige,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-51/
1986 Toyota Land Cruiser FJ60 5-Speed,25500,2021-01-29,sold,12185,743,32,30,california,1986,fj60,157000,2F,manual,silver,https://bringatrailer.com/listing/1986-toyota-land-cruiser-fj60-29/
1987 Toyota Land Cruiser FJ60 4-Speed,32500,2021-01-26,sold,11952,745,54,33,new mexico,1987,fj60,165000,2F,manual,beige,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-62/
1989 Toyota Land Cruiser FJ62,38500,2021-01-20,sold,19396,866,46,36,arizona,1989,fj62,215000,3F-E,automatic,beige,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-59/
48k-Mile 1985 Toyota Land Cruiser FJ60,49000,2021-01-11,sold,16760,933,39,21,alabama,1985,fj60,48000,2F,manual,silver,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-59/
V8-Powered 1985 Toyota Land Cruiser FJ60 5-Speed,33500,2021-01-11,sold,28003,968,46,17,utah,1985,fj60,153000,Other(Swapped),manual,blue,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-68/
1986 Toyota Land Cruiser FJ62 5-Speed,33500,2021-01-08,sold,15829,860,56,29,virginia,1986,fj62,95000,3F-E,manual,red,https://bringatrailer.com/listing/1986-toyota-land-cruiser-fj60-28/
No Reserve: 1981 Toyota Land Cruiser FJ60 Project,11500,2021-01-04,sold,18576,792,34,52,california,1981,fj60,204000,2F,manual,blue,https://bringatrailer.com/listing/1981-toyota-land-cruiser-fj60-5/
1988 Toyota Land Cruiser FJ62,52000,2020-12-31,sold,15665,621,59,43,idaho,1988,fj62,158000,3F-E,automatic,blue,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-53/
350-Powered 1990 Toyota Land Cruiser FJ62,18000,2020-12-24,reserve not met,13452,652,32,17,oregon,1990,fj62,39000,Other(Swapped),automatic,black,https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-36/
1985 Toyota Land Cruiser FJ60,53000,2020-12-18,sold,13778,623,49,31,oregon,1985,fj60,82000,2F,manual,silver,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-71/
1986 Toyota Land Cruiser HJ61,7600,2020-12-15,reserve not met,11669,425,19,4,washington,1986,hj61,183000,12H-T,automatic,gold,https://bringatrailer.com/listing/1986-toyota-land-cruiser-11/
32k-Mile 1989 Toyota Land Cruiser FJ62,76500,2020-12-14,sold,33318,1223,83,46,florida,1989,fj62,32000,3F-E,automatic,white,https://bringatrailer.com/listing/1989-toyota-land-cruiser-18/
22-Years-Owned 1989 Toyota Land Cruiser FJ62,27750,2020-12-11,sold,11137,659,61,61,california,1989,fj62,389000,3F-E,automatic,white,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-56/
V8-Powered 1985 Toyota Land Cruiser FJ60,18000,2020-12-10,reserve not met,10674,464,14,8,north carolina,1985,fj60,189000,Other(Swapped),manual,beige,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-67/
1987 Toyota Land Cruiser FJ60,30500,2020-12-07,sold,11215,616,36,26,north carolina,1987,fj60,163000,2F,manual,silver,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-61/
No Reserve: 1985 Toyota Land Cruiser FJ60 5-Speed,18800,2020-12-03,sold,14236,692,43,33,oregon,1985,fj60,400000,2F,manual,tan,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-66/
1988 Toyota Land Cruiser FJ62,39000,2020-12-01,sold,10157,558,27,21,california,1988,fj62,170000,3F-E,automatic,white,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-54/
1985 Toyota Land Cruiser FJ60,21800,2020-11-30,sold,9950,594,33,29,georgia,1985,fj60,126000,2F,manual,black,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-64/
No Reserve: 1986 Toyota Land Cruiser FJ60,23000,2020-11-25,sold,9071,663,41,34,california,1986,fj60,184000,2F,manual,blue,https://bringatrailer.com/listing/1986-toyota-land-cruiser-fj60-27/
1988 Toyota Land Cruiser FJ62,26500,2020-11-24,sold,12701,752,34,19,idaho,1988,fj62,154000,3F-E,automatic,beige,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-49/
1987 Toyota Land Cruiser FJ60,16000,2020-11-23,sold,7788,472,23,2,oregon,1987,fj60,172000,2F,manual,blue,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-60/
1990 Toyota Land Cruiser FJ62,28500,2020-11-16,sold,11497,655,45,25,arizona,1990,fj62,192000,3F-E,automatic,gray,https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-33/
Vortec-Powered 1989 Toyota Land Cruiser FJ62,42000,2020-11-12,reserve not met,14790,794,83,37,north carolina,1989,fj62,280000,Other(Swapped),automatic,tan,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-52/
1989 Toyota Land Cruiser FJ62 4-Speed,13000,2020-11-09,reserve not met,9478,572,23,10,tennessee,1989,fj62,189000,3F-E,manual,red,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-54/
Vortec-Powered 1987 Toyota Land Cruiser FJ60,54000,2020-11-05,sold,11156,556,53,28,minnesota,1987,fj60,164000,Other(Swapped),automatic,blue,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-56/
Original-Owner 1989 Toyota Land Cruiser FJ62,25000,2020-11-02,sold,8993,578,23,22,virginia,1989,fj62,238000,3F-E,automatic,gray,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-48/
1985 Toyota Land Cruiser FJ60,30000,2020-10-29,sold,10735,626,56,33,idaho,1985,fj60,118000,2F,manual,beige,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-62/
Vortec-Powered 1990 Toyota Land Cruiser FJ62,71000,2020-10-29,sold,26235,1038,50,28,texas,1990,fj62,148000,Other(Swapped),automatic,gray,https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-35/
1988 Toyota Land Cruiser FJ62,19000,2020-10-23,sold,9797,484,33,15,canada,1988,fj62,246000,3F-E,automatic,gray,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-35/
No Reserve: 1985 Toyota Land Cruiser FJ60,14000,2020-10-20,sold,11938,613,21,7,missouri,1985,fj60,266000,2F,manual,beige,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-61/
1983 Toyota Land Cruiser FJ60,15000,2020-10-19,reserve not met,9292,588,43,15,idaho,1983,fj60,167000,2F,manual,white,https://bringatrailer.com/listing/1983-toyota-land-cruiser-fj60-23/
Vortec-Powered 1988 Toyota Land Cruiser FJ62,80000,2020-10-16,sold,35478,886,102,44,arizona,1988,fj62,9000,Other(Swapped),automatic,gray,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-47/
1988 Toyota Land Cruiser HJ61,14500,2020-10-15,reserve not met,9239,414,34,23,illinois,1988,hj61,160000,12H-T,manual,silver,https://bringatrailer.com/listing/1988-toyota-land-cruiser-hj61-7/
1989 Toyota Land Cruiser FJ62,22250,2020-10-14,sold,11910,712,60,25,california,1989,fj62,268000,3F-E,automatic,beige,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-50/
No Reserve: 1988 Toyota Land Cruiser FJ62,15750,2020-10-13,sold,9263,603,21,17,california,1988,fj62,247000,3F-E,automatic,white,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-50/
1985 Toyota Land Cruiser FJ60,23250,2020-10-12,sold,12365,737,33,28,florida,1985,fj60,186000,2F,manual,gray,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-58/
1987 Toyota Land Cruiser FJ60,20500,2020-10-05,sold,17070,835,23,24,illinois,1987,fj60,133000,2F,manual,red,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-57/
Vortec-Powered 1985 Toyota Land Cruiser FJ60 w/Trailer,40000,2020-10-02,sold,23566,1071,32,15,south carolina,1985,fj60,205000,Other(Swapped),manual,blue,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-60/
30-Years-Owned 50k-Mile 1988 Toyota Land Cruiser FJ62,38250,2020-10-02,sold,22096,854,35,36,michigan,1988,fj62,50000,3F-E,automatic,gray,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-45/
Restored 1986 Toyota Land Cruiser FJ60,48500,2020-10-01,sold,18001,789,64,23,mississippi,1986,fj60,118000,2F,manual,beige,https://bringatrailer.com/listing/1986-toyota-land-cruiser-fj60-24/
1985 Toyota Land Cruiser FJ60,26000,2020-09-25,sold,8276,490,36,18,kentucky,1985,fj60,154000,2F,manual,silver,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-63/
1985 Toyota Land Cruiser FJ60,45000,2020-09-24,sold,18907,613,35,9,oregon,1985,fj60,82000,2F,manual,silver,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-51/
Vortec-Powered 1990 Toyota Land Cruiser FJ62,70000,2020-09-21,sold,28955,1033,74,50,louisiana,1990,fj62,117000,Other(Swapped),automatic,white,https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-34/
1987 Toyota Land Cruiser FJ60,20000,2020-09-16,sold,10248,648,19,19,montana,1987,fj60,126000,2F,manual,silver,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-51/
1987 Toyota Land Cruiser FJ60,20000,2020-09-14,sold,8359,600,36,3,montana,1987,fj60,208000,2F,manual,blue,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-52/
1987 Toyota Land Cruiser FJ60,24750,2020-09-09,sold,6716,751,38,38,california,1987,fj60,226000,2F,manual,brown,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-48/
1988 Toyota Land Cruiser FJ62,20250,2020-09-08,sold,1568,576,26,25,north carolina,1988,fj62,158000,3F-E,automatic,red,https://bringatrailer.com/listing/1988-toyota-land-cruiser-31/
1986 Toyota Land Cruiser FJ60,15875,2020-09-07,reserve not met,1842,477,11,6,virginia,1986,fj60,201000,2F,manual,brown,https://bringatrailer.com/listing/1986-toyota-land-cruiser-fj60-21/
Vortec-Powered 1984 Toyota Land Cruiser FJ60,26250,2020-09-03,sold,1800,553,59,35,virginia,1984,fj60,204000,Other(Swapped),manual,tan,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-48/
Restored 1986 Toyota Land Cruiser FJ60,61000,2020-09-02,sold,2460,810,65,16,california,1986,fj60,198000,2F,manual,red,https://bringatrailer.com/listing/1986-toyota-land-cruiser-fj60-26/
1985 Toyota Land Cruiser FJ60 4-Speed,24500,2020-08-20,sold,9353,585,24,12,arkansas,1985,fj60,176000,2F,manual,beige,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-54/
1983 Toyota Land Cruiser FJ60,17500,2020-08-19,reserve not met,13940,745,22,4,colorado,1983,fj60,193000,2F,manual,blue,https://bringatrailer.com/listing/1983-toyota-land-cruiser-fj60-10/
1984 Toyota Land Cruiser FJ60,22500,2020-08-12,sold,9797,657,17,21,idaho,1984,fj60,165000,2F,manual,blue,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-47/
1983 Toyota Land Cruiser FJ60,36000,2020-08-10,sold,10568,596,39,28,florida,1983,fj60,60000,2F,manual,blue,https://bringatrailer.com/listing/1983-toyota-land-cruiser-fj60-22/
1990 Toyota Land Cruiser FJ62,26500,2020-08-07,sold,10612,619,21,34,south carolina,1990,fj62,131000,3F-E,automatic,beige,https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-32/
1985 Toyota Land Cruiser FJ60,18700,2020-08-05,sold,11772,721,10,16,utah,1985,fj60,279000,2F,manual,blue,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-52/
Vortec V8-Powered 1984 Toyota Land Cruiser FJ60,56000,2020-08-04,sold,20807,775,97,30,virginia,1984,fj60,175000,Other(Swapped),automatic,blue,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-36/
1988 Toyota Land Cruiser FJ62,16250,2020-07-31,reserve not met,9772,596,11,23,washington,1988,fj62,134000,3F-E,automatic,beige,https://bringatrailer.com/listing/1988-toyota-land-cruiser-30/
1989 Toyota Land Cruiser FJ62 High Roof 5-Speed,20250,2020-07-30,sold,15797,833,41,32,alabama,1989,fj62,121000,3F-E,manual,white,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-43/
1981 Toyota Land Cruiser FJ60,22750,2020-07-29,sold,9175,542,32,27,florida,1981,fj60,192000,2F,manual,beige,https://bringatrailer.com/listing/1981-toyota-land-cruiser-fj60-4/
Vortec-Powered 1988 Toyota Land Cruiser FJ62,75000,2020-07-28,sold,46259,1088,64,9,texas,1988,fj62,200000,Other(Swapped),automatic,gray,https://bringatrailer.com/listing/1988-toyota-toyota-land-cruiser-fj62/
1986 Toyota Land Cruiser 5-Speed,28250,2020-07-22,sold,10017,603,59,48,texas,1986,fj60,154000,2F,manual,silver,https://bringatrailer.com/listing/1986-toyota-land-cruiser-9/
1989 Toyota Land Cruiser FJ62,25001,2020-07-20,sold,13804,746,30,23,texas,1989,fj62,281000,3F-E,automatic,gray,https://bringatrailer.com/listing/1989-toyota-land-cruiser-15/
1984 Toyota Land Cruiser FJ60,18250,2020-07-14,sold,14362,710,40,18,canada,1984,fj60,139000,2F,manual,beige,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-44/
1985 Toyota Land Cruiser HJ60 High Roof,40000,2020-07-10,sold,22061,796,86,49,oklahoma,1985,hj60,158000,2H,manual,blue,https://bringatrailer.com/listing/1985-toyota-land-cruiser-hj60-3/
LS3-Powered 1989 Toyota Land Cruiser FJ62,79500,2020-07-01,sold,23163,753,81,31,texas,1989,fj62,5000,Other(Swapped),automatic,white,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-41/
No Reserve: Cummins-Powered 1989 Toyota Land Cruiser FJ62 5-Speed,25500,2020-06-30,sold,36173,1229,62,30,alabama,1989,fj62,222000,Other(Swapped),manual,beige,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-39/
66k-Mile 1989 Toyota Land Cruiser FJ62,45250,2020-06-25,sold,21311,747,42,10,new mexico,1989,fj62,66000,3F-E,automatic,gray,https://bringatrailer.com/listing/1989-toyota-land-cruiser-13/
1989 Toyota Land Cruiser FJ62,24750,2020-06-24,sold,9526,620,26,29,virginia,1989,fj62,164000,3F-E,automatic,gray,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-42/
1988 Toyota Land Cruiser FJ62 5-Speed,46000,2020-06-11,sold,27110,714,78,20,oregon,1988,fj62,213000,3F-E,manual,blue,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-37/
Modified 1985 Toyota Land Cruiser FJ60 V8 4-Speed,13750,2020-06-09,reserve not met,17210,773,46,41,iowa,1985,fj60,239000,Other(Swapped),manual,silver,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-45/
1989 Toyota Land Cruiser FJ62,22250,2020-06-04,sold,8778,616,8,19,oklahoma,1989,fj62,135000,3F-E,automatic,gray,https://bringatrailer.com/listing/1989-toyota-land-cruiser-12/
1988 Toyota Land Cruiser FJ62,15000,2020-06-02,reserve not met,12620,633,10,3,missouri,1988,fj62,218000,3F-E,automatic,white,https://bringatrailer.com/listing/1988-toyota-land-cruiser-29/
Diesel 1985 Toyota Land Cruiser FJ60,47000,2020-05-28,sold,22905,921,64,25,california,1985,fj60,227000,2H,manual,tan,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-49/
32k-Mile 1989 Toyota Land Cruiser FJ62,80000,2020-05-27,sold,27832,699,92,14,north carolina,1989,fj62,32000,3F-E,automatic,white,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-40/
1989 Toyota Land Cruiser FJ62,29500,2020-05-26,sold,11476,620,33,25,colorado,1989,fj62,143000,3F-E,automatic,blue,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-37/
1984 Toyota Land Cruiser FJ60,25750,2020-05-21,sold,13577,768,44,38,california,1984,fj60,92000,2F,manual,beige,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-32/
1987 Toyota Land Cruiser FJ60,21250,2020-05-14,sold,20513,882,76,20,california,1987,fj60,166000,2F,manual,beige,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-44/
1984 Toyota Land Cruiser FJ60,19750,2020-05-11,sold,19249,992,46,37,california,1984,fj60,164000,2F,manual,blue,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-40/
1984 Toyota Land Cruiser FJ60,20000,2020-05-07,reserve not met,29864,1372,45,18,alabama,1984,fj60,278000,2F,manual,blue,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-41/
57k-Mile 1990 Toyota Land Cruiser FJ62,66500,2020-04-30,sold,37799,1138,155,24,pennsylvania,1990,fj62,57000,3F-E,automatic,red,https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-29/
1988 Toyota Land Cruiser FJ62,23250,2020-04-29,sold,16925,956,39,44,texas,1988,fj62,188000,3F-E,automatic,silver,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-34/
No Reserve: 1988 Toyota Land Cruiser FJ62,14000,2020-04-01,sold,15643,696,29,29,canada j7c,1988,fj62,198000,3F-E,automatic,tan,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-30/
1983 Toyota Land Cruiser FJ60,14250,2020-03-26,reserve not met,11838,621,25,26,colorado,1983,fj60,156000,2F,manual,red,https://bringatrailer.com/listing/1983-toyota-land-cruiser-fj60-18/
One-Owner 1988 Toyota Land Cruiser FJ62,28000,2020-03-19,reserve not met,18492,694,29,12,florida,1988,fj62,68000,3F-E,automatic,gray,https://bringatrailer.com/listing/1998-toyota-land-cruiser-7/
1986 Toyota Land Cruiser FJ60,31250,2020-03-11,sold,20515,835,68,25,missouri,1986,fj60,178000,2F,manual,red,https://bringatrailer.com/listing/1986-toyota-land-cruiser-7/
1984 Toyota Land Cruiser FJ60,7369,2020-03-05,sold,14434,559,68,16,california,1984,fj60,198000,2F,manual,beige,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-38/
